x,y,clusterid
121.503944,31.257961,None
121.505710,31.214236,None
121.505710,31.214236,None
121.555429,31.243504,1
121.558848,31.241075,1
121.550433,31.231968,None
121.561355,31.226812,2
121.561355,31.226812,2
121.559450,31.228209,2
121.556266,31.229209,2
121.556266,31.229209,2
121.565562,31.257758,3
121.563599,31.256823,3
121.562725,31.258743,3
121.529969,31.257554,5
121.525892,31.254250,4
121.535283,31.253789,None
121.538660,31.257210,5
121.538399,31.260995,5
121.520731,31.254938,4
121.536014,31.260520,5
121.538399,31.260993,5
121.520731,31.254938,4
121.514434,31.265996,None
121.559024,31.256754,3
121.559024,31.256754,3
121.562463,31.257129,3
121.562709,31.256768,3
121.568201,31.248210,None
121.562406,31.248611,None
121.557926,31.250356,None
121.551760,31.251374,1
121.553338,31.253061,1
121.551656,31.251260,1
121.563418,31.249355,None
121.528617,31.268215,4
121.523133,31.264467,4
121.526280,31.267177,4
121.523867,31.263924,4
121.520143,31.259273,4
121.522198,31.256764,4
121.521717,31.255589,4
121.520525,31.255175,4
121.520319,31.254726,4
121.520319,31.254726,4
121.523623,31.257877,4
121.515105,31.261992,4
121.524165,31.252627,4
121.516243,31.255453,4
121.545159,31.265094,6
121.543402,31.261045,6
121.546619,31.264094,6
121.533194,31.261407,5
121.513637,31.253297,4
121.532094,31.260734,5
121.510665,31.255617,4
121.510526,31.256390,4
121.510345,31.255847,4
121.511836,31.257024,4
121.511459,31.257252,4
121.526661,31.263248,4
121.506092,31.253073,4
121.506092,31.253073,4
121.524375,31.261412,4
121.511021,31.259322,4
121.510117,31.253345,4
121.513708,31.256354,4
121.539273,31.258284,5
121.510863,31.257687,4
121.512170,31.256727,4
121.526056,31.265274,4
121.526029,31.267609,4
121.521883,31.258717,4
121.522230,31.260200,4
121.518777,31.259712,4
121.524015,31.254947,4
121.518381,31.253146,4
121.523644,31.257806,4
121.514947,31.252029,4
121.513546,31.253301,4
121.511010,31.257528,4
121.511010,31.257528,4
121.511010,31.257529,4
121.538218,31.267991,None
121.543532,31.265995,6
121.543312,31.268267,6
121.542844,31.268326,6
121.560235,31.254584,3
121.553399,31.245532,1
121.555555,31.236937,None
121.554522,31.237704,None
121.568122,31.225457,None
121.548661,31.237097,8
121.555429,31.243504,1
121.530788,31.239408,7
121.546121,31.239015,8
121.542764,31.239185,8
121.548994,31.224696,None
121.542661,31.245247,8
121.540805,31.241521,8
121.541400,31.244168,8
121.540007,31.244431,8
121.543499,31.236925,8
121.536129,31.234323,7
121.546800,31.241823,8
121.548707,31.242029,8
121.521497,31.218622,9
121.515809,31.236573,9
121.515762,31.237168,9
121.507380,31.240243,9
121.511756,31.229730,9
121.516837,31.234935,9
121.508791,31.239729,9
121.515001,31.229009,9
121.505161,31.235018,None
121.522843,31.233585,9
121.521744,31.232267,9
121.514238,31.240777,9
121.565957,31.244308,None
121.512336,31.237729,9
121.519589,31.234394,9
121.517159,31.216401,None
121.518604,31.217013,None
121.527175,31.234849,7
121.522038,31.240906,7
121.522833,31.241032,7
121.532002,31.235478,7
121.527069,31.237611,7
121.526816,31.237445,7
121.525405,31.237826,7
121.534851,31.230277,7
121.534851,31.230277,7
121.534851,31.230277,7
121.528628,31.236733,7
121.523527,31.240312,7
121.518938,31.226163,9
121.518707,31.223608,9
121.524302,31.229340,9
121.517349,31.225802,9
121.522140,31.227672,9
121.523383,31.229015,9
121.522396,31.225289,9
121.522009,31.221500,9
121.524010,31.223382,9
121.517986,31.227425,9
121.525002,31.228757,9
121.518942,31.227051,9
121.532534,31.222358,None
121.511335,31.237221,9
121.544858,31.245089,8
121.529692,31.234322,7
121.519182,31.241437,7
121.562399,31.226967,2
121.556580,31.243045,1
121.551783,31.247634,1
121.520437,31.230476,9
121.529172,31.221332,None
121.530803,31.229281,7
